name,contestId,index,accepted_submissions,rating
Watermelon,4,A,494374,800
Way Too Long Words,71,A,363588,800
Team,231,A,307561,800
Theatre Square,1,A,250981,1000
Bit++,282,A,244790,800
Next Round,158,A,237917,800
Domino piling,50,A,234492,800
Beautiful Matrix,263,A,231599,800
Petya and Strings,112,A,214633,800
Helpful Maths,339,A,203739,800
Word Capitalization,281,A,201202,800
Boy or Girl,236,A,199016,800
String Task,118,A,185297,1000
Bear and Big Brother,791,A,184334,800
Stones on the Table,266,A,182192,800
Elephant,617,A,174980,800
Soldier and Bananas,546,A,172306,800
Word,59,A,166672,800
Wrong Subtraction,977,A,159362,800
Young Physicist,69,A,158610,1000
Football,96,A,152354,900
Nearly Lucky Number,110,A,146715,800
Anton and Danik,734,A,144365,800
Translation,41,A,138606,800
Tram,116,A,135424,800
Chat room,58,A,124936,1000
Lucky Division,122,A,118771,1000
Twins,160,A,113272,900
Even Odds,318,A,108933,900
HQ9+,133,A,102090,900
Gravity Flip,405,A,96887,900
Expression,479,A,90814,1000
Kefa and First Steps,580,A,85607,900
Dubstep,208,A,85496,900
Taxi,158,B,84066,1100
IQ test,25,A,83088,1300
cAPS lOCK,131,A,82992,1000
Registration System,4,C,79571,1300
Puzzles,337,A,77046,900
Dragons,230,A,76173,1000
Vanya and Lanterns,492,B,72874,1200
T-primes,230,B,72025,1300
Xenia and Ringroad,339,B,67813,1000
Cut Ribbon,189,A,64160,1300
Game With Sticks,451,A,63838,900
Cheap Travel,466,A,61066,1200
Interesting drink,706,B,60160,1100
Raising Bacteria,579,A,58172,1000
Odd Divisor,1475,A,57364,900
Boredom,455,A,55822,1500
Ilya and Bank Account,313,A,54612,900
Football,43,A,53757,1000
K-th Not Divisible by n,1352,C,51941,1200
New Year Transportation,500,A,51434,1000
Fence,363,B,50696,1100
Sale,34,B,50031,900
Books,279,B,49685,1400
Two Buttons,520,B,49093,1400
Chewbaсca and Number,514,A,48240,1200
"Multiply by 2, divide by 6",1374,B,47425,900
BerSU Ball,489,B,47414,1200
New Year's Number,1475,B,47377,900
Candies,1343,A,47072,900
Laptops,456,A,46493,1100
Worms,474,B,46012,1200
Given Length and Sum of Digits...,489,C,45184,1400
New Year Candles,379,A,45169,1000
Vasya and Socks,460,A,44864,900
Move Brackets,1374,C,44658,1000
Same Differences,1520,D,44504,1200
Fancy Fence,270,A,44186,1100
Sort the Array,451,B,44018,1300
Keyboard,474,A,43761,900
Olesya and Rodion,584,A,43718,1000
Ilya and Queries,313,B,42377,1100
Dreamoon and Stairs,476,A,42147,1000
Kefa and Park,580,C,40994,1500
Arpa’s hard exam and Mehrdad’s naive cheat,742,A,40888,1000
Flipping Game,327,A,40699,1200
Sereja and Suffixes,368,B,40195,1100
Road To Zero,1342,A,39321,1000
Pashmak and Flowers,459,B,39222,1300
Multiplication Table,577,A,38768,1000
Case of the Zeros and Ones,556,A,38602,900
Business trip,149,A,38514,900
A and B and Compilation Errors,519,B,38366,1100
Lecture,499,B,38178,1000
Sum of Odd Integers,1327,A,37785,1100
Two-gram,977,B,37783,900
Construct the String,1335,B,37697,900
Kuriyama Mirai's Stones,433,B,37437,1200
Alternating Subsequence,1343,C,37361,1200
The number of positions,124,A,36985,1000
Two Substrings,550,A,36933,1500
Fedor and New Game,467,B,36694,1100
Same Parity Summands,1352,B,36373,1200
Random Teams,478,B,35782,1300
Number of Ways,466,C,35135,1700
Odd Selection,1363,A,34954,1200
Two Teams Composing,1335,C,33928,1100
